Rating,Review
5,Room was clean and neat. Food was good and atmosphere was brilliant. Staff was very friendly and helpful. Greenery view and it helps to have a calm stay at hotel. Highly recommend for families as there are number of places to visit and children's activities during the stay in Grand Hyatt.     
4,"A fantastic resort in a great location. Beautiful ocean view room with generous bathroom and wardrobe space. Club room included breakfast and evening drinks and canapés which were generous enough to cover an evening meal but a bit hit and miss in quality. Staff were lovely, friendly and helpful. Beautiful grounds, several pool areas and lovely restaurants. Only a short walk to Bali Collection with shops, bars and restaurants. My only complaint, why have a club access only pool (a beautiful area) which is free to anyone staying? It would be a great additional privilege for people in club rooms if it was genuinely only for those people rather than being overcrowded."
5,"We really enjoyed our stay. The staff were very accommodating. We ate in several of the restaurants which had a great range of food. The buffet breakfast is the best I’ve ever had! The beds were comfortable, the rooms were nice and cool from the outside heat. The swimming pool with two slides was lots of fun. The service at the pool was great too."
5,"Excellent , Start to finish this property took care of us. staff is great, flowers everywhere. Daily religious offerings. always please and thank you. Wonderful night market on the premises. Gym was great. The property ends with a sidewalk and 2 steps beyond that is the beach. The flight from North America is brutal so make sure you stay a while once you get there. Rates are extremely reasonable.  inexpensive for everything."
5,This hotel is really amazing. We had a wonderful time with kids. The staff is very helpful and courteous. Kids enjoyed the kids club and pool area. The rooms are very spacious and with beautiful interior.
5,"Could not fault our stay, the facilities are excellent, service perfect and lots of staff were always on hand even to just guide the way to breakfast of which there were three places to eat at. Four different restaurants to eat dinner at all were fab and did take away if required."
5,It was a great experience and services and all kind of facilities were state-of-the-art. The service team were very professional and helpful.  I am looking forward to visit again in next year meeting.  Cheers.
5,"GH is a true 5 star hotel. All staff from gardeners to management above expectations. Variety of food & entertainment options and, location on a beautiful beach meant we could bunker down and truly unwind. First time in Nusa Dua and so glad we chose GH!"
1,If you don’t like BUGS in your Bed do not come to the Grand Hyatt Bali. I don’t even want to rate this hotel at the moment.   It is 11 pm right now and approximately 1.5 hour ago my daughter layed down to sleep in her bed and found bugs on the sheet. First 2 and then 5 and then they were just everywhere. On  the ground on the floor on the bed. I am so disgusted and creeped out and feel like they are crawling in my hair.  We are also travelling with my mom who is almost 80 and when we asked to move rooms there were bugs in the room as well. I’m in one of the most beautiful places in the world and sadly I just want to go home.   Apparently these bugs are called sugar ants.   Note: I also have videos of the ants moving on the bed but I can’t seem to add videos 
4,"Grand Hyatt Bali is a hotel next to the beach. There are tennis court and spa center. I booked the spa service there and the people are very friendly there. Note that my room was close to the pond and if you don't switch on the air conditioner, which generates white noise, the sounds from birds and insects could affect your sleep."
